,text,favourite_count,retweet_count,created_at
0,RT @SeriesBrasil: A 3ª e última temporada de THE RAIN tem data de estreia confirmada para dia 6 de agosto na Netflix. https://t.co/dykleEOy…,0,0,2020-06-17 11:58:59+00:00
1,RT @girlpowertbh: i still can’t believe netflix cast chris d’elia as the pedophile in season to of “you” like the literal IRONY,0,0,2020-06-17 11:58:59+00:00
2,"RT @OH_mes2: Drama 'Blue Sky' which features BTS's world views and growth has started production

They are auditioning for cast members + w…",0,0,2020-06-17 11:58:57+00:00
3,"RT @Kemdikbud_RI: #SahabatDikbud, Kemendikbud bekerja sama dengan @NetflixID akan menayangkan film-film dokumenter persembahan Netflix pada…",0,0,2020-06-17 11:58:57+00:00
4,se um dia a Netflix tirar b99 do catálogo eu vou ser a pessoa mais triste do mundo,18,3,2020-06-17 11:58:56+00:00
5,RT @ava: Beautiful. 👊🏾,0,0,2020-06-17 11:58:56+00:00
6,im still mad at netflix for removing pride and prejudice 2005,0,0,2020-06-17 11:58:56+00:00
7,RT @SeriesUpdateFR: La 3ème et dernière saison de #TheRain sortira le 6 août sur Netflix. https://t.co/RuILCADeHC,0,0,2020-06-17 11:58:55+00:00
8,RT @BilelTnm: Quand t’es sur netflix et qu’il y a plus le « épisode suivant »,0,0,2020-06-17 11:58:55+00:00
