user_name,verified,location,friends,followers
eduardogodoy20,False,"méxico, aguascalientes",126,168
Quersha_,False,"Mint Hill, NC",420,926
Ch3rryB0mb_113,False,Gallifrey,493,420
chuyfa,False,Ciudad de México,1296,3349
Nicolas_deLlaca,False,420*Town,439,30563
ociconeadas,False,0,277,17
gabrielxlink,False,"Guadalajara, Jalisco",4999,1799
ferglarios,False,Andalasia✨,364,387
sofyuribe,False,"Tampico, Tamaulipas",365,275
PlanoCine,False,México,315,138
RevistaMarvin,False,0,1637,243736
pp3rea,False,"Calimaya, México",1837,202
zona3noticias,False,"Guadalajara, Jalisco",1089,59822
Aici56,False,"Venustiano Carranza, Distrito Federal",485,93
noemisanpin,False,"Guadalajara, Jalisco",1030,1129
dariodz23,False,0,434,837
Alex_SalasD,False,Mexico City,672,476
jjarch,False,0,1074,17053
pauliht,False,"Huimanguillo, Tabasco",854,858
elweyfresa,False,Ciudad de México,456,1138
artartarturo,False,0,251,232
JoshDeftones,False,Coatzacoalcos,1879,1109
SarayTurner,False,instagram.com/sarayturner,349,365
StephMiich,False,CDMX ,2586,1184
alexbaquedano_,False,"Mérida, la de Yucatán, Mexico.",381,731
Laguilar_15,False,"Juárez, Chihuahua",623,233
Miky1975_,False,Mexico,7188,7522
NarceTravel,False,"Valladolid, Yucatán",494,674
desactacc,False,0,520,261
cjmg88,False,"Nuevo Laredo, Tamaulipas",4971,1167
ZekeGalero,False,"Tampico, Mexico ",443,275
FeerMayaa,False,"Tuxpan, Ver.",272,561
marianavillasr_,False,0,480,1151
AndreaAiramG,False,"Cuernavaca, Morelos",1233,1330
sarivargass,False,Monterrey N.L. ♡,2136,1101
eadmax99,False,"He, him, his / ⚥ / ♏︎",933,827
RUMANOVSKY,False,0,215,485
edson_amaro07,False,"Monterrey, Nuevo León, México ",621,323
cinthialeoperez,False,"Victoria, Tamaulipas",63,345
daniel_vibo,False,"Nuevo León, México",697,369
ManuelEBaher,False,Ciudad del Carmen,1235,490
JanGarrido,False,0,222,254
waitdownbythese,False,México,868,254
kskrdehuevo,False,México Mágico,943,1031
abiranmena,False,Mexico,572,545
Agron_26,False,México,85,134
Radamanthysmx,False,"Tamaulipas, México",1531,556
Joziaan182,False,"Chetumal, Quintana Roo, México",688,449
yiselpop,False,"Monterrey, Nuevo León",626,1285
aleksbarboza,False,"Matamoros, Mexico",950,611
kenyamunoz,False,0,680,803
NicoleDttmer,False,"Miguel Hidalgo, Distrito Federal",484,252
PaolaNavarrete0,False,México,374,588
potosina10,False,"San Luis Potosí, SLP, México",783,681
davidaustria,False,Ciudad de México,9825,19333
Elfindelpartido,False,Mexico,225,297
bradmadrigal,False,Behind you,117,969
aroanieto,False,0,1696,527
Melisa91092,False,México,1827,1748
leslymtz21,False,0,731,1854
Miguel_VazquezF,False,"Morelos, México",2114,677
Astrid_1405,False,México,1324,932
Adriannoe,False,"Monterrey, N. L.",1723,2073
fanny_teran1,False,México,209,83
montsega_garcia,False,"Guadalajara, Jalisco, México",833,692
_cafiaspirina,False,"CDMX / Rainbow, Freedom",796,392
itzeelaaa,False,0,250,307
karendjdiaz,False,cdmx,437,357
carloscont8,False,0,429,6157
LaMonCh3,False,"Toluca, México",171,250
_alexgrcia,False,Monterrey,445,681
academiadanzart,False,0,103,244
KarenSRmz,False,"CDMX • Huejutla de Reyes, HGO",621,1490
vrallamva,False,"Guadalajara, Jalisco. México",185,138
98Fredy_Tellez2,False,"Tabasco, México",550,1434
stefyyd,False,0,172,452
unalonso1402,False,Sinaloa  Mexico,823,434
JazizLay,False,0,199,425
MikeRojasS,False,Tabasco.MX,1518,782
jarc9510,False,"México, Veracruz",193,529
fersmenndez,False,"Guadalajara, Jalisco",254,206
RicardoGarciiaa,False,"Puebla, México",34,40
osvix95k,False,"El Marqués, Querétaro Arteaga",1585,125
arturoinb,False,0,307,67
Juanyvb_,False,"Monterrey, Nuevo León",1990,2188
cuasrrc,False,0,309,983
GasparfMonica,False,0,923,227
AnnaPaula992,False,0,1298,2745
Anne_Espinoza88,False,Alto Golfo de California,606,735
gladeshanks,False,Whole Cake Island,538,1046
AranCano05,False,Ace,552,1445
____22bry,False,0,246,551
Dannie_torres,False,CDMX/MID,99,555
SooyValiente,False,0,437,172
mayelozano,False,"Nairobi, Kenya",291,206
memocmy,False,0,480,265
Rafatuit,False,"Cuauhtémoc, Distrito Federal",1226,1178
hdzgerson19,False,Come rayos y defecaras truenos,3350,594
iGeorgieBoy,False,◢ ◤,158,227
holapepillo,False,Cd. Satélite,707,105
