,key_word,id,tweet,user_id,user_name,date,like,retweet,verified,location,friends,followers
0,,1250568421189828615,"Bueno, ""#DiamantesEnBruto"" resultó ser una de las mejores películas que he visto de @AdamSandler en @NetflixLAT ¡wow! Sudé, grité, nudos en el estómago. Un must en esta cuarentena. https://t.co/RU0aune7Vl",86488393,castillomarcin,2020-04-15 23:35:20+00:00,1,0,False,"Villahermosa Tabasco, México",1304,1272
1,,1250567745617293312,"@Marielarmora @rjxm_edomex @christianquin_m @CarolinaMonroy_ @Gaby_Borras @donaldo_lerma @PaolaVColin @Mov_PRImxEdomex @jivansanz @LauraBarreraF Hola Marielita, estoy viendo la serie de Blindspot en Netflix, muy recomendada para quienes les gusta la acción, aprendí a coser en máquina para hacer cubrebocas y regalar a mis vecinos 😉. Y para activarse fisicamente me gusta bailar💃.  
#YoMeQuedoEnCasa",139561229,MayraLizMorales,2020-04-15 23:32:39+00:00,3,0,False,"Aculco, México",711,275
2,,1250566567386951680,"@Medellinski_ Ahorita conseguimos link, nos pela la verga Disney +",2513714726,PabsterBlack,2020-04-15 23:27:58+00:00,2,0,False,"Aguascalientes, México",524,270
3,,1250565409327255554,"Un día como hoy #15Abril de 
1.990: Nació en París, Francia (británica) Emma Charlotte Duerre Watson
 #EmmaWatson, actriz de cine. interpretó a Hermione Granger en saga películas de Harry Potter.
Protagonizó el remake del clásico de Disney, ""La bella y la bestia"" y ""Mujercitas"" https://t.co/xXDI7CwifU",174757335,cokymendoza,2020-04-15 23:23:22+00:00,0,0,False,Ciudadana del mundo 🌏,1266,3002
4,,1250561691261206531,@Saradepau Netflix españa mija.,340582292,MardukPlay,2020-04-15 23:08:36+00:00,0,0,False,"Mérida, México",190,284
5,,1250560694858190851,@JUAN7MIGUEL @VivirSinPermiso @NetflixLAT Gracias por la recomendación. Abrazo grande.,99190096,soyedgarmx,2020-04-15 23:04:38+00:00,1,0,False,"San Luis Potosí, México.",531,4986
6,,1250555299263664129,"Quiero ver a qué princesa de Disney me parezco, pero ninguna tiene las greñas moradas.",912168392861388801,kmijal65,2020-04-15 22:43:12+00:00,1,0,False,,31,32
7,,1250554934485037057,"Tras varios intentos fallidos, finalmente encontré una peli en @NetflixLAT que me gustó mucho; @atomic_blonde 👌 https://t.co/nUnjfgBV03",80368657,LuisFer_Silva,2020-04-15 22:41:45+00:00,2,0,False,Slytherin ,423,1716
8,,1250554623615787009,"Miércoles de estar todo el día en cama, en calzones, no bañarse, ver Netflix y tragar como cerdos. IGUAL QUE TODOS LOS PINCHES DÍAS DE LA CUARENTENA! https://t.co/MjJdzWVhdP",136702514,Pako_Tenomi,2020-04-15 22:40:31+00:00,4,0,False,Mexico,1516,2284
9,,1250547712690393088,@PrimeVideoMX han subido el anuncio del doblaje pero no los capítulos 😛😖 https://t.co/PFrmYQmG59,866473667806580736,luistorressn,2020-04-15 22:13:03+00:00,0,0,False,"Mérida, Yucatán",496,52
10,,1250544370752745472,@WaikGG @netflix @NetflixLAT @sense8 A mi si me sale 🥳,290356966,MoyVillagomz,2020-04-15 21:59:46+00:00,1,0,False,"Mexico, ME",460,1059
11,,1250543570064416768,"El filtro perfecto no exi...

#TigerKing 
#netflix https://t.co/A26BdjPkYx",42124249,lalochaps_,2020-04-15 21:56:35+00:00,7,0,False,instagram.com/lalochaps_,739,2279
12,,1250543077426487296,Vi el tráiler de la serie sobre Michael Jordan a estrenarse próximamente en @NetflixLAT y me parece IM-PER-DI-BLE. Ya sé qué ver en mis próximos días libres.,147754878,jcarrillo_88,2020-04-15 21:54:38+00:00,0,0,False,Nayarit,2541,1955
13,,1250539736030044160,@justrobing @Emilian49044830 @NetflixLAT Nos engañaron 😭😭,1244754854502789120,GabyNaeu,2020-04-15 21:41:21+00:00,1,0,False,"Baja California Sur, México",220,6
14,,1250537565821624320,¡soy cinta negra en hacer sándwiches 🥪 la netflix!,364885347,eldann92,2020-04-15 21:32:44+00:00,0,0,False,"Distrito Federal, México ",1086,343
15,,1250537489384816642,"La cuarentena es más difícil cuando no se tiene Netflix(ni internet) en casa.
#COVID19mx https://t.co/5JfzA70uMO",245579575,serjesus_99,2020-04-15 21:32:25+00:00,0,0,False,Kame House,4940,441
16,,1250536617040687105,"Gracias, no me acepta la tarjeta y no voy a salir solo a pagar el Netflix. Aiuda https://t.co/6gse71w47K",128116259,EddyJFCrawford,2020-04-15 21:28:58+00:00,4,0,False,"Pachuca de Soto, Hidalgo. ",794,1652
17,,1250534515300347904,"Oye @TELMEXSoluciona  quiero hacer el ajuste de mi velocidad de Internet pero es o con Netflix o con Netflix, no me deja cambiar sólo a cantidad de megas... Que Pex. No quiero netflix",83054016,eddimen,2020-04-15 21:20:36+00:00,0,0,False,México DF,365,786
18,,1250531501860626438,"Los esperamos hoy a las 6:00pm en #SpeakersEnCuarentena con el programa #TigerKing y el impacto digital en #cuarentena.  

https://t.co/eTNBixAuSQ vía @YouTube

Con excelentes invitados: @pedroeloyrdz @nayoescobar @RobertoBecerra0 

#JoeExotic #Netflix #CaroleBaskin #COVID19mx https://t.co/Gq4QifsghM",76808925,AnaLauraMtz,2020-04-15 21:08:38+00:00,2,1,False,México D.F.,115,21847
19,,1250529081503805441,Ellos son el club de “Los Disney Chanel”,269573411,antoniostrada,2020-04-15 20:59:01+00:00,0,0,False,Mexico,1049,584
20,,1250526074469060609,La diferencia entre muchos hombres y yo es que si me dices que vamos a ver Netflix me la creo si me dices vamos al cine me la creo vamos por un café me la creo a mi sí me tienes que decir vamos a coger si no ni me apresuró,476339807,Psypato92,2020-04-15 20:47:04+00:00,0,0,False,Celaya,2100,623
21,,1250524842702577664,"@NetflixLAT Cari, en Amazon Prime esta hasta la 3 😏",264927874,lborjurz,2020-04-15 20:42:10+00:00,0,0,False,,397,663
22,,1250519932900708352,Porqué hay una serie en Netflix de Palazuelos ? Y porque chingados la estoy viendo ? https://t.co/Gmn8J0lNFr,146912721,riv0girl,2020-04-15 20:22:40+00:00,5,0,False,Ya no sé ni donde estoy parada,90,356
23,,1250516617512882178,"@CocoBernal_ @NetflixLAT Ira tú cállate mejor, mejor!",987030701584166912,Ellntenso,2020-04-15 20:09:29+00:00,0,0,False,CDMX ,799,4725
24,,1250515986765266947,"@TUDNMEX me iba a disponer a ver la eLigaMX @TigresOficial vs @ClubAmerica por lo pinche aburrido que está el día. Pero al ver al pinche Perro Bermúdez 🤮🤮🤮🤮 
Prefiero seguir viendo Netflix https://t.co/Nzub2Tg6eC",896187269614256128,MyInfo24295289,2020-04-15 20:06:59+00:00,3,0,False,Ciber Web,605,38
25,,1250514006688837632,"@dotoramaetra @Mariana31211091 @gabyped13 @danielapieck Checate el documental (en Netflix tambien) One of Us, ahi abordan los mismos temas, misma comunidad solo que en la vida real",73592082,pavelsanchez,2020-04-15 19:59:07+00:00,2,0,False,⬇️Aqui encuentras la musica⬇️,943,696
26,,1250513787171606533,Necesito ver Teen beach movie con la Franka para  ver si su amor por la película se me pega y no creer que es la peor de Disney Original Movies,30821808,PerrasPorFavor,2020-04-15 19:58:14+00:00,0,0,False,❥Pato-Landia❦❦,487,170
27,,1250511410037129218,“ Está mamalon para ver películas y series en Netflix®️.” 😈 https://t.co/As4qHYDH71,3038883942,cburcia1,2020-04-15 19:48:48+00:00,2,1,False,"Monterrey, Nuevo León",939,757
28,,1250511307301847048,@art_colonia La netflix ya deliro su sabor jajaja,2911512468,pawisgavilanez,2020-04-15 19:48:23+00:00,0,0,False,"Mazatlán, Sinaloa",139,130
29,,1250511274124943360,"6 Cosas que no pueden faltar en tu cuarentena, 6 contactos: 
- Café ☕
- Laptop 💻
- Música 🎵
- Netflix 📽
- Botana 🌮🥪🌭
- Ejercicios 🤸🏽‍♀️

@4piesViajeros
@DeliciosoMoment
@LaGraceNavarro 
@fernando_velam 
@CoffeeReaderpe 
@foodxury 

#AyyyPagreee https://t.co/44KXRW3GHr",945085381862674437,ViajaConMariana,2020-04-15 19:48:15+00:00,8,2,False,México,2668,1980
30,,1250510945098530817,Cómo que solo son 4 capítulos de #UnorthodoxNetflix quiero más tío @NetflixLAT es muy buena.,987030701584166912,Ellntenso,2020-04-15 19:46:57+00:00,31,2,False,CDMX ,799,4725
31,,1250509965485367302,"@NetflixLAT , no subían hoy @TheWalkingDead la novena temporada?",2899965947,OrlandoRamos182,2020-04-15 19:43:03+00:00,0,0,False,,436,323
32,,1250505935069556737,"Influenciada x la lista de mi sobrina en Netflix, hoy quiero flores, caminatas largas de la mano, bailar bajo la lluvia, mensajes cursis, llamadas x la noche, te quieros y besos tiernos, si ya sé, yooooo
Quiero todo el repertorio 😍",2317393016,bba_9977,2020-04-15 19:27:02+00:00,0,0,False,,106,51
33,,1250502413347323905,"Ya empezó mi novela de las dos. No molestar. 

https://t.co/YlKSwPQ74F",155658418,N1K4T0,2020-04-15 19:13:03+00:00,1,0,False,"Zamora, Michoacán de Ocampo",1971,477
34,,1250494102862528515,@soymissvochito Esta en Netflix... Se me paso decirte eso,1146944890032599040,JuliuxDuran,2020-04-15 18:40:01+00:00,1,0,False,,1561,702
