,key_word,id,tweet,user_id,user_name,date,like,retweet,verified,location,friends,followers
0,,1010310542710452226,"Vas muy bien @NetflixLAT 👌🏻
Domingo: La balada de Hugo Sánchez ✔️
Martes: Unsolved; The murder of Tupac  &amp; Biggie Small ✔️
Jueves: Beirut✔️
Viernes: Luke Cage✔️",301244396,Tozerck,2018-06-22 23:56:18+00:00,1,0,False,"Tampico,Tamaulipas",185,299
1,,1010310392252207105,Parece un buen viernes para echarme a ver las 400 series de Netflix que me ha dado weba ver! #RetoAceptado,378892463,gab_icha,2018-06-22 23:55:42+00:00,3,0,False,,354,258
2,,1010309979868418048,Alguien abusó de las películas de Disney !,1679617261,JoseSanRoman58,2018-06-22 23:54:04+00:00,0,0,False,Xalapa,1300,432
3,,1010306769640402944,"Mejora tu #ServicioAlCliente con este taller de dos días en #PlayadelCarmen
Obtén todos los detalles aquí 👉 https://t.co/o98Gnaw7r9 #RivieraMaya @RocioMenar @SkydivePlaya @RivieraMayaBlog https://t.co/VWPM6GlQw8",2386026997,BeSocialEdu,2018-06-22 23:41:19+00:00,4,2,False,Playa del Carmen,11825,30948
4,,1010304999170011136,@lisspereira @franco_esca @NetflixLAT ¡Tú lo has dicho Liss. Un berraco!,174728009,soyleidysalazar,2018-06-22 23:34:17+00:00,2,0,False,"México, Puebla",1469,7471
5,,1010302589668413440,@ZamaconaAlAire El documental #PrescriptionThugs habla de lo fácil que es conseguir medicamentos de prescripción y también lo fácil que es morirse se una sobredosis por #Opioides @briciosegovia @elwesomx @NetflixLAT,488921538,farmaceuticomx,2018-06-22 23:24:42+00:00,2,0,False,México,2274,1276
6,,1010302347438895105,"@AnneBurton31 @NetflixLAT @JLMTantei Jajajajaja es que nama, tienen que verlaaaaaa, es una serie que vale la penaaaa",727300894388166660,morthi23,2018-06-22 23:23:44+00:00,0,0,False,"Ecatepec de Morelos, México",109,126
7,,1010299989946322944,"Me disponía a ver nuevamente la serie ""Cosmos"" presentada por @neiltyson , tenía preparado mis palomitas y todo. Hasta que me dí cuenta que ya no está en el catálogo de @NetflixLAT 😔😕",112736062,AldridMx,2018-06-22 23:14:22+00:00,0,0,False,Monterrey,592,193
8,,1010298876006486016,jalo 😂 sin netflix no hay pedo https://t.co/MUTaI3oQBL,85667334,jalbvserr,2018-06-22 23:09:57+00:00,0,0,False,"Culiacán, Sinaloa, México",3164,1016
9,,1010296677570248704,Desde chiquito ya es adicto a #Netflix y ahora sólo ve #LaGuardiadelLeon https://t.co/lYdwoemb6J,394197003,berecrisantos,2018-06-22 23:01:12+00:00,1,0,False,"Zamora, Michoacán",477,432
10,,1010296196152332291,Oye @NetflixLAT y lo nuevo de @RickyMortyTV ¿para cuándo?,110231186,hector_ac,2018-06-22 22:59:18+00:00,1,0,False,,640,242
11,,1010292015890919424,Esas si son mandas la Netflix https://t.co/Dd0MtNTnk2,1606446108,TatoGarcia8,2018-06-22 22:42:41+00:00,0,0,False,,534,121
12,,1010284430215254016,"Mucho más que un Stand-up. Veanlo si están sad, pero con precaución.
 ""Hannah Gadsby: Nanette"" en Netflix
https://t.co/1MflJHOLHA",254773113,tengorio,2018-06-22 22:12:32+00:00,2,0,False,,263,283
13,,1010281740924055552,Estaba buscando algo que ver en Netflix y encontré que esta Clifford the big red dog y pues ya me perdieron este fin de semana.,4886225905,kardelprado,2018-06-22 22:01:51+00:00,3,0,False,"Puebla, México",366,209
14,,1010281333833306112,Me maaaaman los especiales de @NetflixLAT Stand Up de @FrancoEscaTV y @sofffiaaa. Son mi máximo.,202025109,montpd_,2018-06-22 22:00:14+00:00,0,0,False,"Puebla, México",913,918
15,,1010281051648856070,"Todos véanla, es de Netflix, se las recomiendo mucho 🤗",104351296,vpmontoya,2018-06-22 21:59:07+00:00,1,0,False,"Sonora, México",526,1103
16,,1010269962404024320,NO MAMES NO SABÍA QUE ESTABA ATLANTIS EN @NetflixLAT,230883160,juliapaola_,2018-06-22 21:15:03+00:00,2,0,False,Mexico,393,571
